[2019-05-16 15:49:05,428][INFO ][node                     ] [Mentor] version[1.7.4], pid[1], build[0d3159b/2015-12-15T11:25:18Z]
[2019-05-16 15:49:05,429][INFO ][node                     ] [Mentor] initializing ...
[2019-05-16 15:49:05,529][INFO ][plugins                  ] [Mentor] loaded [], sites []
[2019-05-16 15:49:05,590][INFO ][env                      ] [Mentor] using [1] data paths, mounts [[/data (osxfs)]], net usable_space [34.8gb], net total_space [464.7gb], types [fuse.osxfs]
[2019-05-16 15:49:08,213][INFO ][node                     ] [Mentor] initialized
[2019-05-16 15:49:08,214][INFO ][node                     ] [Mentor] starting ...
[2019-05-16 15:49:08,409][INFO ][transport                ] [Mentor] bound_address {inet[/0.0.0.0:9300]}, publish_address {inet[/172.17.0.2:9300]}
[2019-05-16 15:49:08,441][INFO ][discovery                ] [Mentor] elasticsearch/L7t_IhmLRJqdQTTwG0mMCA
[2019-05-16 15:49:12,218][INFO ][cluster.service          ] [Mentor] new_master [Mentor][L7t_IhmLRJqdQTTwG0mMCA][4c5a0b416cc0][inet[/172.17.0.2:9300]], reason: zen-disco-join (elected_as_master)
[2019-05-16 15:49:12,305][INFO ][http                     ] [Mentor] bound_address {inet[/0.0.0.0:9200]}, publish_address {inet[/172.17.0.2:9200]}
[2019-05-16 15:49:12,306][INFO ][node                     ] [Mentor] started
[2019-05-16 15:49:12,319][INFO ][gateway                  ] [Mentor] recovered [0] indices into cluster_state
[2019-05-16 15:49:42,195][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:49:42,195][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:50:12,157][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:50:42,121][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:51:12,086][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:51:12,087][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:51:42,050][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:52:12,015][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:52:12,016][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:52:41,980][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:53:11,944][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:53:11,945][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:53:41,910][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:54:11,874][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.4%], shards will be relocated away from this node
[2019-05-16 15:54:11,874][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:54:41,839][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:55:11,804][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:55:11,805][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:55:41,769][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:56:11,735][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:56:11,742][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:56:41,698][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
